A
A.B. =(=able body) | potocznie starszy marynarz
fume (fjum) | opary, dym, wyziewy
function (‘fankszn) | funcjonowanie, dzia³anie, /funkcja/
function test BOP | test sprawnoœci prewenterów (zamkniêcie-otwarcie)
fundamental | podstawowy
funnel (‘fanel) | lej, lejek, /komin metalowy (np. statku)/ 
funnel viscosimeter | lejek „Marsha” do pomiaru lepkoœci p³uczki 
funnel viscosity | lepkoœæ lejkowa p³uczki 
furnish (‘fenysz) | zaopatrywaæ, wyposa¿aæ
fuse (ljuz)=(=fuze) | bezpiecznik elektryczny topikowy, stapiaæ siê, /lont, zapalnik/ 
fuse-board=(=fuze-board) | tablica bezpiecznikowa 
fuse-box=(=fuze-box) | skrzynka bezpiecznikowa 
fusible | topi iwy (materia³)
G
gage (gejd¿) =(=gauge) | przyrz¹d pomiarowy, sprawdzian, /gruboœæ np. blachy/
gain in volume (gejn yn ‘woljum) | przyrost objêtoœci
gain (gejn) | przyrost, przyp³yw (np. p³uczki), /zysk/, /wzmocnienie/ .
gale (gejl) | sztorm, wichura
gale warning (gejl ?³oning) | ostrze¿enie sztormowe
galled thread | zatarty gwint
galley | kuchnia statkowa
galling | zatarcie, korozja cierna
galvanised | ocynkowany
gamma ray Iog=(=GRL) | profilowanie gamma
gangway | trap, schodnia na statku, przejœcie
gap (gep) | odstêp, szczelina, odleg³oœæ spodu pontonu platformy od morza 
garbage (‘gabyd¿) | odpadki (np. ¿ywieniowe), œmieci, rzeczy zbêdne 
gas analysis | analiza gazowa 
gas blow-out | wybuch gazu, erupcja gazu
gas bubbles | ma³e poduszki gazowe, pêcherze gazu (np. w p³uczce) 
gas burner | palnik gazowy (do spalania gazu) 
gas cap | czapa gazowa (z³o¿a)


gas constant | sta³a gazowa
gas cushion (gez ‘kuszen)=(=gas pocket) | poduszka gazowa
gas cut mud (gez kat mad) | p³uczka nagazowana
gas cutting=(=flame cutting) | ciêcie palnikiem gazowym
gas cutting torch | palnik do ciêcia gazowego
gas cylinder | butla do gazu (np. tlenu, azotu itp.)
gas detector | wykrywacz gazu
gas effusion | ulatnianie siê gazu, uchodzenie gazu
gas field (gez fi³d) | pole gazowe
gas flame (gez flejm) | p³omieñ gazowy
gas flare | pochodnia do spalania gazu
gas-injection well | otwór wiertniczy do zat³aczania gazu (intensyfikacja) 
gasket {‘gasket) | uszczelka, uszczelnienie 
gasket ring | pierœcieñ uszczelniaj¹cy
gas lift | podnoœnik gazowy (podnoszenie ropy, solanki gazem | gaz-lift)
gas-oil contact | kontakt ropa-gaz (granica faz)
gas-oil ratio=(=GOR) | wyk³adnik gazowy
gasoline=(=gasolene) | benzyna USA
gas pocket=(=gas cushion) | poduszka gazowa
gasproof=(= gas-tight) | gazoszczelny
gas showings | objawy gazowe
gas torch (gez tocz) | palnik gazowy do ciêcia (spawania) 
gas well | odwiert gazowy
gate (gejt) | zasuwa, klapa, brama, „bramka” zasuwy, furtka
Gator Hawk | tester do zew. badania szczelnoœci po³¹czeñ rur/ przewodu/ syfonówek
gauge | /gruboœæ np. blachy, drutu/, /po³o¿enie wzajemne statków/
gauge =(=gage) (gejd¿) | manometr, czujnik, szablon, /szerokoœæ toru/
gauge cock | kurek probierczy (zawór do pobierania próbek)
gauge feeler | szczelinomierz
gauge pressure (gejd¿ ‘presze)-nadciœnienie
gauge reading (gejd¿ ‘riding) | wskazanie przyrz¹du pomiarowego 
gauge rounding | strata œrednicy œwidra
gear (‘gie) | ko³o zêbate, bieg, przek³adnia zêbata, /mechanizm/
gear-box | skrzynia biegów, skrzynia przek³adniowa
gear change (‘gie czeñd¿) | zmiana biegu
gear clutch | sprzêg³o zêbate
gear down {‘gie daun) | w³¹czyæ m¿szy bieg
gear pump | pompa zêbata
gear ratio=(=gear-train value) | prze³o¿enie przek³adni zêbatej
gear-tooth | z¹b ko³a zêbatego
gear transmission | przek³adnia zêbata
gear up (‘gie ap) | w³¹czyæ wy¿szy bieg
gear-wheel | ko³o zêbate
gel (d¿el) | ¿el
gel strength | wytrzyma³oœæ strukturalna p³uczki
general manager | dyrektor naczelny
general overhaul | remont kapitalny, naprawa g³ówna
general-purpose=(=multi-purpose) | ogólnego zastosowania, uniwersalny


generator (‘d¿enerejte) | generator, wytwornica 
geodynamics | geologia dynamiczna (geodynamika) 
geodesist=(=land surveyor) | geodeta 
geographic north | pó³noc geograficzna 
geological age | wiek geologiczny
geological cross section-(-geoIogical section) | przekrój geologiczny 
geological marker | pok³ad geologiczny przewodni 
geological profile | profii geologiczny 
geologist (d¿i’oled¿yst) | geolog
geolograph (d¿i’olograf)~ przyrz¹d rejestruj¹cy g³êbokoœæ otworu i parametry wier.
geolograph chart (d¿rolograf czat) | diagram do d¿eolografii (12 godz. lub 24 godz.)
geolograph clock (dzi’olograf klok) | zegar w d¿eolografie (12 godz. lub 24 godz.)
geolograph pen (dzi’olograf pen) | piórko do d¿eolografu
geology (d¿i’oled¿i) | geologia
geophysics | geofizyka
geostatic pressure | ciœnienie górotworu
geothermal gradient | gradient geotermiczny
geronimo | linka/ lina ratunkowa
get fired | byæ zwolnionym z pracy (kamie)
get-stuck | przychwyciæ przewód w otworze
gimbals joint=(=Cardan joint) | po³¹czenie przegubowe pierœcieniowe (Kardana)
gin pole (d¿in poul) | kozio³ na koronie wie¿y wiertniczej/ masztu, podpora (koby³ka)
girt | belka poprzeczna wie¿y wiertniczej
give (gyw) | daæ, dawaæ, podawaæ, przekazywaæ
glacial clay=(=glacial till) | glina zwa³owa, glina morenowa
glacial drift | osady polodowcowe
glacial epoch | epoka lodowcowa
gland (glend) | d³awik, d³awnica, uszczelnienie d³awieniowe 
gland bushing (glend ‘buszing) | pierœcieñ d³awika 
gland housing | korpus d³awika
gland packing (glend ‘peking) | uszczelka d³awika, szczeliwo d³awika 
gland ring | pierœcieñ dociskowy d³awika 
glass=(=made of glass) | szk³o, szklany
glasses | okulary, /lornetka/ 	safety glasses | okulary ochronne
glassworker=(=glazier) | szklarz 
glide (glajd) | poœlizg
glossary | s³ownik specjalistyczny, s³ownik wyjaœniaj¹cy (np. w ksi¹¿ce)
gloves (glawz) | rêkawice	safety gloves | rêkawice ochronne
glue (glu) | klej, kleiæ, sklejaæ 
gneiss | gnejs
go (gon) | iœæ, jechaæ, chodziæ, pójœæ,
go down (gou daun) | jechaæ w dó³, zje¿d¿aæ, obni¿aæ siê, /ton¹æ, iœæ na dno/ 
go free (gou fri) | iœæ z wiatrem
go home (gou houm)  | udaæ siê do domu, /idŸ do domu!/ 
go out of use | wychodziæ z u¿ycia
go up | idŸ (iœæ) do góry, jechaæ w górê, wznosiæ siê, podnosiæ, podci¹gaæ (np. przewód) 
go-devil (gou de wy I) | skrobak luŸno spad o wy (np. do rur, przewodu, syfonówek) 
go-devil | zbijak (trzpieñ, kula) wrzucany do przewodu do otwarcia zaworu


go-gauge -(=rabbit) | szablon (np. do rur ok³adzinowych, syfonówek itp.) 
go-gauiging=(=rabbiting) | szablonowanie (np. rur ok³adzinowych, syfonówek itp.) 
goggles (goglz) =(=safety glasses) | okulary ochronne 
goods | towary, artyku³y
gooseneck (‘gusnek) | potocznie tzw. „gêsia szyja”
gophering | eksploatacja rabunkowa z³o¿a
governing | regulacja, sterowanie, /rz¹dz¹cy/
governing law | prawo obowi¹zuj ¹ce
governor | regulator (np. obrotów)
grade (grejd) | gatunek, marka, klasyfikowaæ
grade of materia³ | gatunek materia³u, rodzaj materia³u
grading | stopieñ zu¿ycia potocznie, sortowanie, stopniowanie
gradually | stopniowo
granite | granit
grant =(=grant a license) | koncesja (np. na wiercenie), licencja 
grantor | przyznaj¹cy licencjê, udzielaj¹cy licencjê
grapple | chwytak wid o szczêkowy (np. chwytak narzêdzia instrum.), chwytaæ 
grating (‘grejting) | kratka (np. pod³ogowa antypoœlizgowa), greting 
gravel (‘grawel) | ¿wir
gravity center=(=gravity centre) ('grawyti ‘sente) | œrodek ciê¿koœci
gravity=(=gravity force) | si³a ciê¿koœci, si³a grawitacyjna
gravity structure=(=concrete structure) | platforma betonowa (np. wiertnicza)
grease (gris) | smar sta³y, towot
grease nipple | smarowniczka (kalamitka)
greaser (‘grise) =(= grease box, grease gun) | smarownica
grind off | zeszlifowywaæ
grinder (‘grainde) | szlifierka
grinding (‘grainding) | szlifowanie
grinding wheel (‘grainding ³il) | tarcza do szlifierki
grip (gryp) | zacisk, œcisk na linê, /uchwyt, chwyt, rêkojeœæ/, zaciskaæ, mocowaæ 
grip handle | rêkojeœæ, uchwyt
grormnet | pierœcieñ uszczelniaj¹cy z liny manii owej/ tekstylnej (np. pod kominek)
groove (gruw) | rowek, bruzda, wy¿³obienie
groove weld (gruw ield) | spoina czo³owa
gross (gros) | brutto, /ra¿¹cy/, /toporny/
gross earnings | zarobki brutto
gross error (gros ere) | gruby b³¹d
gross negligence (gros ‘neglid¿ens) | ra¿¹ce niedbalstwo
ground level | poziom terenu, /poziom podstawowy/
grounding | uziemienie, /osiadanie na mieliŸnie/
ground water level | lustro wody gruntowej, poziom wody gruntowej
ground water | woda gruntowa
grouting | wzmacnianie terenu (np. cementem), wstrzykiwanie cementu
Guar Gum | dodatek do p³uczki (¿ywica naturalna Guar)
guard rail | ogrodzenie maszyny (barierka ochronna)
guard (gard) | stra¿, /os³ona, zabezpieczenie/
guide (gajd) | prowadnik, prowadnica, prowadziæ
guide line | lina prowadnikowa


guide ring (gajd ring) | pierœcieñ prowadnikowy 
guide roller | kr¹¿ek prowadnikowy 
guide shoe | but prowadnikowy
guide-line tensioner | napinacz liny prowadnikowej na platformie
guidelines | wytyczne, instrukcja, sposób prowadzenia prac
gum (gam) | ¿ywica naturalna, klej, sklejaæ, /dzi¹s³o/
gun (gan) =(=mud gun) | pistolet, pistolet p³uczkowy
gun (gan) | perforator, /dzia³o, pistolet, broñ palna/
guy (gaj) | odci¹g, lina napinaj¹ca, naci¹g, /goœæ, facet/
guy anchor (gaj ‘anker) | zaczep (kotwica) odci¹gu, œmiertelnik
guy lines (gaj lajnz) | odci¹gi, liny napinaj¹ce
guyed mast-(-guyed derrick) | maszt z odci¹gami
gypsum (M¿ipsein) | gips
gypsum mud | p³uczka gipsowa
gyro survey (‘d¿ajrou ‘sewi) | pomiary ¿yroskopowe
gyro (d¿ajro)=(=gyroscQpe) (‘d¿ajrosko³p) | ¿yroskop
H
H.	P. -(=high pressure) | wysokie ciœnienie, /wysokoprê¿ny/
hack-saw frame | oprawka pi³ki do metali
hack-saw | pi³ka do metali
hacksawing | ciêcie metali pi³ka rêczn¹
haft | rêkojeœæ, trzonek (narzêdzia)
half as much again | pó³tora raza wiêcej
half (haf) | pó³, po³owa, po³ówka
half-round (haf raund) | pó³okr¹g³y
half-size scale | podzia³ka 1:2
half-turn (haf ten) | pó³obrót
halite=(=salt, natrium chloride, NaCl) | sól kamienna 
hammer (‘hame) | m³ot, m³otek, /uderzaæ, m³otkowaæ/
hammer connection (‘hame ke’nekszn) | pot. po³¹czenie szybkoskrêtne (np.Weco)
hammer wrench | klucze oczkowe przystosowane do docinania po³¹czeñ m³otem
hammering (‘hamering) | uderzanie m³otem
hand (hend) | rêka, rêczny, /wskazówka/, /potocznie robotnik/
hand brake (hend brejk) | hamulec rêczny
handbook (‘hendbuk) | poradnik, ksi¹¿ka, podrêcznik
hand-crank | korba rêczna
hand down | przekazywaæ (np. wiedzê, informacje itp.)
hand flare | pochodnia rêczna
hand lever | dŸwignia rêczna
handling | obs³uga, manipulowanie
hand-made | robota rêczna, wykonany rêcznie
hand of rotation | kierunek obrotu
hand operation (hend ope’rejszn) | obs³uga rêczna, napêd rêczny
hand over (hend ‘ouwe) | przekazywanie obowi¹zków (np. zmiany), przekazywaæ
hand piece | rêkojeœæ, r¹czka, uchwyt
hand-raii (?hendreil)=(=handrail) | porêcz (np. schodów), barierka 
hand tight=(=handtight) | dokrêcony rêcznie 
hand tools | narzêdzia rêczne


hand vice | imad³o rêczne
handwheel | pokrêt³o, kó³ko rêczne (np. zasuwy) 
handy | porêczny, wygodny w u¿yciu, przydatny
handyman (‘hendimen) | cz³owiek do wszystkiego (tzw. "z³ota r¹czka")
hanger | wieszak (np. syfonówek), wieszak (do ubrañ)
hang up | zawieszenie siê przewodu wiertniczego (brak ruchu w dó³)
hang up | zawiesiæ, od³o¿yæ, powiesiæ
harbour =(=harbor) | port, przystañ, /zawijaæ do portu/
harbour authority | zarz¹d portu
hard faced | powierzchniowo utwardzony, napawany twardym spiekiem
hard formation (had fo’mejszn) | twardy pok³ad geologiczny
hard hat area | strefa noszenia kasków ochronnych (obowi¹zkowo)
hard hat=(=helmet) | kask (he³m) ochronny
hard (had) | twardy
hard work (had lek) | ciê¿ka praca
hardened steel | stal hartowana
hardening agent | utwardzacz
hardness | twardoœæ
hard-surfacing alloy | stop do napawania 
hardware | sprzêt komputerowy
harmful | szkodliwy	harmless | nieszkodliwy
hazardous area | obszar niebezpieczny
hazardous work conditions | niebezpieczne warunki pracy
head (hed) | g³owica, /g³owa/, /³eb (np. œruby, gwoŸdzia itp.)/
head office (hed ofis) | dyrekcja, centrala
health certificate | œwiadectwo zdrowia
health hazard | zagro¿enie zdrowia, niebezpieczeñstwo dla zdrowia
health insurance | ubezpieczenie na wypadek choroby
heat (hit) | ciep³o, ¿ar, nagrzewaæ, ogrzewaæ
heat exchanger | wymiennik ciep³a
heater (‘hite) | grzejnik, podgrzewacz
heating (‘hiting) | ogrzewanie, podgrzewanie
heating system | system ogrzewania
heaving line=(=hauling line) | rzutka
heaving shale | ³upek sypi¹cy do otworu
heavy layer | gruba warstwa, gruby pok³ad
heavy mud (‘hewi mad)=(=weighted mud) | obci¹¿ona p³uczka, p³uczka ciê¿ka 
heavy sea | morze wzburzone, wielka fala
heavy weight drill pipe=(=HWDP)(‘hewi lejt dryl pajp) | przewód gruboœcienny 
heavy-duty (‘hewi ‘djuti) | ciê¿kiego typu (np. klucze maszynowe) 
hedgehog | druciany skrobak do rur (skrobanie pod zapiêcie pakera), /je¿/ 
heel | przechy³ boczny statku (chwilowy), /krawêdŸ/ 
height (hajt) | wysokoœæ
held up =(=hold up) | wieszanie siê przewodu w otworze podczas zapuszczania 
held up depth (held ap dept) | g³êbokoœæ w której przewód wiesza siê (zatrzymuje) 
helical | œrubowy, spiralny
helicopter =(=chopper)~ œmig³owiec, helikopter 
helicopter beacon | latarnia kierunkowa dla œmig³owca


helicopter deck =(=helideck) | pok³ad dla helikoptera, l¹dowisko platformy
helicopter pad | pok³ad do l¹dowania helikoptera, l¹dowisko platformy
helicopter radio-beacon | radio-latamia dla œmig³owca
helideck (‘helidek) | l¹dowisko helikoptera (na platformie)
heliport (‘helipot) | l¹dowisko helikopterów, lotnisko helikopterów (na l¹dzie)
hell row of teeth | skrajny rz¹d zêbów giyzera
helmet (‘he³my t)=(=hard hat) | kask ochronny, he³m
belmœman=(=wheelman) | sternik
helper | pomocnik
high gear ciuch (haj ‘gie klacz) | sprzêg³o wysokiego biegu
high-performance | wysokosprawny
high pH mud (haj pi-ejcz mad) | p³uczka o wysokim pH
high pressure (haj ‘presze) | wysokie ciœnienie
high tide | przyp³yw morza, maximum p³ywu
high voltage | wysokie napiêcie
high-duty (haj ‘djuti) | wysokowydajny, wysokosprawny
highly concentrated | silnie stê¿ony
highly diluted | silnie rozcieñczony
highly inflammable | ³atwopalny
highly porous | o du¿ej porowatoœci
highly skilled | wysoko wykwalifikowany
hinge joint (hind¿ d¿ojnt) | po³¹czenie zawiasowe (np. w elewatorze) 
hinge pin (hind¿ pyn) | sworzeñ po³¹czenia zawiasowego 
hire (haje) | najem, wynajem, wynajmowaæ 
hire(d) labo(u)r (‘hajed ‘lejbe) | najemna si³a robocza
hitch | szychta na wiertni (np. 2, 4, 5 tyg.)~ pobyt w pracy, /szarpniêcie/, /wyjazd/
Hj-Vi-Pill=(=high viscosity pill) | p³uczka (bufor) o podwy¿szonej lepkoœci
hogging | przegiêcie statku na grzbiecie fali
hoist (hojst) | winda, podnoœnik, ko³owrót, wci¹garka
hoisting capacity of derrick | udŸwig wie¿y wiertniczej
hoisting hook | hak do podnoszenia
hold (hould) | trzymaæ, zatrzymaæ, /ujêcie, uchwyt/, /³adownia/ 
hold up (hould ap) | podtrzymywaæ, podpieraæ, zatrzymywaæ, /unosiæ/ 
hold-up (hould-ap) | zator, zatrzymanie ruchu (np. przy zapuszczaniu przewodu) 
hole (houl) | otwór, dziura, otwór wiertniczy
hole conditions (houl ken’dysznz) | warunki w otworze wiertniczym 
hole deviation (houl dewi’ejszn) | krzywizna (skrzywienie) otworu wiertniczego 
hole opener (houl ‘oupne) | poszerzacz otworu wiertniczego 
hole size (houl sajz) | œrednica otworu
holiday (‘holydej) | dzieñ œwi¹teczny, wakacje, urlop, ipot. przerwa w izolacji rur/ 
holiday test (‘holydej test) | badanie stanu izolacji rur 
hollow rivet | nit rurkowy
hollow (‘holou) | wg³êbienie, wydr¹¿enie, pusty, wydr¹¿ony, wklês³y, dr¹¿yæ 
Holocene | holocen
home office =(=bead office) | siedziba g³ówna firmy 
home port (hohn pot) | port macierzysty 
homogeneous | jednorodny
honeycomb formation=(=reservoir rock) | ska³a porowata


hook (huk) | hak, zahaczaæ, zawieszaæ na haku 
hook boat=(=boat hook)  | bosak 
hook load capacity | udŸwig nominalny haka 
hook load | obci¹¿enie haka
hook stick | hak z w¹sem (przyrz¹d instrumentacyjny)
hook up | pod³¹czyæ, pod³¹czaæ, /potocznie schemat monta¿owy/
hopper | lej (np. lej hydrauliczny), zsypnia
horizontal | poziomy
hornstone | rogowiec
horsepower output | moc oddawana (moc na wyjœciu)
horsepower=(=HP) | moc w KM, koñ mechanicznym KM (jednostka mocy)
hose (houz) | przewód giêtki, w¹¿ giêtki, sziauch
hose clamp =(-hose clip, hose band) | zacisk do wê¿y gumowych
hose coupling (houz ‘kapling) | ³¹cznik do wê¿y gumowych
hot (hot) | gor¹cy, /silnie promieniotwórczy/, /ostry, pikantny/
hot water boiler | kocio³ grzejny
house (haus) | dom, budynek, /umieœciæ, ulokowaæ, zmagazynowaæ/ 
housekeeping (‘hauskiping) | prace porz¹dkowe, utrzymanie porz¹dku 
housing (‘hausing) | obudowa, oprawa, os³ona 
howling buoy | boja akustyczna 
hr =(=hour) (‘aue) | godzina
hull (hal) | kad³ub statku lub platformy wiertniczej, /dryfowaæ/ 
human factor | czynnik ludzki 
humidity (hju’mydyti) | wilgotnoœæ
hundred year wave | fala stuletnia (min. podniesienie platformy nad wod¹) 
HWDP=(=heavy weight drill pipe)(‘hewi ³ejt dryl pajp) | przewód gruboœcienny 
hydraulic brake (haj’drolyk brejk) | hamulec hydrauliczny (hydromat) 
hydraulic coupling | sprzêg³o hydrauliczne
hydraulic end (haj’drolyk end) | czêœæ hydrauliczna (np. pompy p³uczkowej) 
hydraulic external cutter | nó¿ hydrauliczny do ciêcia rur/ przewodu od zewn¹trz 
hydraulic fracturing (haj ’drolyk ‘frakczering) | szczelinowanie hydrauliczne 
hydraulic jack (haj’drolyk d¿ek)-podnoœnik hydrauliczny 
hydraulic oil (haj ’drolyk ojl) | olej hydrauliczny
hydraulic power tong (haj’drolyk ‘paue tong) | klucz hydrauliczny (np. do rur) 
hydraulic power unit (haj’drolyk ‘paue junit)-jednostka hydrauliczna napêdu 
hydraulic pump (hajdrolyk pamp) | pompa/ pompka hydrauliczna 
hydraulic test | próba ciœnieniowa, test ciœnieniowy (hydrauliczny) 
